ENC Cell,Latest Edition No.,Latest Update No.,Latest Edition Issue Date,Latest Update Issue Date
CL5AI013,1,5,06-10-2006,03-02-2021
CL5AI015,1,,14-11-2006,
CL5AI017,1,4,06-10-2006,18-07-2013
CL5AI020,1,,29-01-2010,
CL5AI028,2,,27-05-2011,
CL5AI030,1,,10-10-2006,
CL5AI032,1,1,05-12-2006,13-05-2010
CL5AI034,2,,02-06-2021,
CL5AI040,1,,07-09-2009,
CL5AI045,1,1,29-09-2009,21-01-2013
CL5AI050,2,,13-07-2012,
CL5AI055,2,,09-07-2012,
CL5AI060,4,3,13-02-2018,06-07-2021
CL5AI080,1,,01-09-2016,
CL5AI081,1,,08-09-2016,
CL5AI082,1,,02-09-2016,
CL5AI083,1,,02-09-2016,
CL5AI091,1,,10-10-2006,
CL5AI092,1,,10-10-2006,
CL5AI093,1,,10-10-2006,
CL5AI094,2,3,23-11-2011,20-08-2019
CL5AI095,1,,11-10-2006,
CL5AI096,1,,11-10-2006,
CL5AI097,1,2,19-03-2013,12-10-2018
CL5AI100,1,,08-05-2014,
CL5AI105,1,,19-05-2014,
CL5AI110,1,,07-05-2014,
CL5AI115,1,,07-05-2014,
CL5AI120,1,,09-05-2016,
CL5AI125,1,,27-03-2017,
CL5AI126,1,,03-04-2017,
CL5AI130,1,,26-11-2014,
CL5AI135,1,,24-10-2014,
CL5AI140,1,,27-10-2014,
CL5AI145,1,,27-10-2014,
CL5AI150,1,,09-03-2015,
CL5AI155,1,,19-03-2015,
CL5AI160,1,,04-03-2015,
CL5AI450,1,,25-06-2015,
CL5AI701,1,,15-01-2019,
CL5AI900,1,4,22-09-2015,03-09-2021
CL5AI910,1,,10-08-2015,
CL5AI920,1,,10-08-2015,
CL5AN005,1,7,05-07-2006,10-01-2021
CL5AN011,1,,24-08-2016,
CL5AN015,2,1,27-12-2016,07-02-2020
CL5AN020,1,1,05-09-2006,03-03-2021
CL5AN025,1,,05-09-2006,
CL5AN030,1,4,26-09-2006,07-04-2020
CL5AN035,1,,06-09-2006,
CL5AN040,1,,20-09-2006,
CL5AN045,1,,06-09-2006,
CL5AN050,1,3,29-08-2006,22-12-2008
CL5AN060,1,8,30-08-2006,08-06-2020
CL5AN065,1,,30-08-2006,
CL5AN070,1,,30-08-2006,
CL5AN080,1,2,20-02-2014,11-05-2015
CL5AT005,1,16,20-09-2006,05-05-2022
CL5AT015,1,1,20-09-2006,10-04-2013
CL5BB005,2,1,30-05-2016,07-09-2020
CL5BB010,2,11,16-12-2014,08-11-2021
CL5BB015,2,2,18-12-2014,08-10-2020
CL5BB020,4,2,10-11-2021,07-06-2022
CL5BB025,2,1,01-10-2020,06-10-2021
CL5BB026,1,,04-10-2021,
CL5BB030,2,,09-01-2020,
CL5CO005,2,6,07-10-2015,08-06-2021
CL5CO010,1,5,19-01-2009,25-09-2014
CL5LL005,2,3,18-06-2018,03-03-2021
CL5LL013,1,1,13-11-2006,12-02-2013
CL5LL014,1,1,13-11-2006,07-09-2020
CL5LL015,1,5,13-11-2006,05-02-2019
CL5LL020,1,,02-10-2006,
CL5LL025,2,1,23-12-2019,13-02-2020
CL5LL026,1,1,17-12-2019,10-09-2021
CL5LL031,1,,08-11-2006,
CL5LL032,1,1,08-11-2006,08-06-2017
CL5LL033,1,1,08-11-2006,12-02-2013
CL5LL035,1,3,04-10-2006,15-03-2013
CL5LL040,3,1,03-05-2019,07-12-2020
CL5LL045,2,,11-04-2019,
CL5LL048,2,,31-08-2020,
CL5LL056,1,,01-06-2016,
CL5LL057,1,,01-06-2016,
CL5LL058,1,,24-05-2016,
CL5MA100,1,,28-07-2016,
CL5MA200,1,,06-09-2016,
CL5MA210,1,,20-09-2016,
CL5MA220,1,1,06-09-2016,18-05-2017
CL5MA230,1,,13-05-2019,
CL5MA231,1,,13-05-2019,
CL5MA232,1,,10-06-2019,
CL5MA233,1,,13-05-2019,
CL5MA250,2,,02-06-2021,
CL5MA255,1,1,25-11-2021,04-02-2022
CL5MA260,1,,10-09-2019,
CL5MA300,1,,28-07-2015,
CL5MA310,1,,28-07-2015,
CL5MA320,1,,28-07-2015,
CL5MA330,1,,28-07-2015,
CL5MA340,1,,26-07-2016,
CL5MA570,2,4,29-12-2009,08-10-2020
CL5MA571,1,,29-12-2009,
CL5MA580,1,,04-05-2020,
CL5MA600,1,1,18-10-2016,06-09-2021
CL5MA631,1,,17-04-2019,
CL5MA632,1,,25-04-2019,
CL5MA633,1,,17-04-2019,
CL5MA634,1,,17-04-2019,
CL5MA650,1,,25-04-2018,
CL5MA651,1,,25-04-2018,
CL5MA652,1,,24-05-2018,
CL5MA655,1,,06-07-2020,
CL5MA656,1,,06-07-2020,
CL5MA657,1,,06-07-2020,
CL5MA705,1,2,12-10-2006,16-02-2017
CL5MA710,1,1,12-10-2006,12-07-2016
CL5MA720,2,,21-02-2018,
CL5MA725,1,1,13-11-2006,13-07-2016
CL5MA740,1,2,12-10-2006,16-02-2017
CL5MA745,2,3,02-04-2007,17-06-2013
CL5MA750,1,,13-08-2021,
CL5MA751,1,,13-08-2021,
CL5MA752,1,,13-08-2021,
CL5MA753,1,,13-08-2021,
CL5MA754,1,,13-08-2021,
CL5MA755,1,,13-08-2021,
CL5MA756,1,,13-08-2021,
CL5MA760,1,1,14-11-2006,12-03-2020
CL5MA860,1,,19-10-2006,
CL5MA870,3,,16-08-2021,
CL5MA890,2,,02-11-2021,
CL5MA910,1,,04-02-2013,
CL5MA930,1,,24-10-2014,
CL5MA950,1,,22-10-2014,
CL5MA970,1,3,21-10-2014,08-11-2021
CL5MA990,1,1,16-12-2014,03-03-2021
CL5TR005,2,,22-12-2021,
CL5TR010,1,1,20-09-2006,24-09-2013
CL5TR050,1,,13-07-2006,
CL5TR052,1,,29-05-2006,
CL5TR056,1,,13-07-2006,
CL5TR060,1,,13-07-2006,
CL5VA004,1,,18-03-2009,
CL5VA005,2,20,18-03-2009,14-08-2019
CL5VA006,1,,10-03-2022,
CL5VA007,1,,15-03-2022,
CL5VA008,1,,15-03-2022,
CL5VA009,1,,15-03-2022,
CL5VA010,2,,09-11-2020,
CL5VA015,1,20,26-09-2006,04-02-2022
CL5VA017,1,,01-12-2017,
CL5VA019,1,1,03-05-2019,07-06-2022
CL5VA020,3,,27-03-2018,
CL5VA022,1,1,06-09-2017,07-12-2020
CL5VA023,1,,26-09-2017,
CL5VA025,1,,15-11-2016,
CL5VA026,1,1,17-11-2016,11-05-2022
CL5VA055,2,1,13-07-2015,10-03-2020
CL5VA060,1,7,20-09-2006,11-03-2020
CL5VA065,1,1,07-09-2006,09-06-2010
CL5VAL05,1,3,07-09-2006,16-10-2015
CL6AN005,1,,22-08-2016,
CL6AN010,1,2,06-12-2013,18-05-2017
CL6LL005,1,1,18-06-2018,03-03-2021
CL6LL010,1,1,02-10-2006,06-11-2019
CL6MA256,1,1,25-11-2021,04-02-2022
CL6MA257,1,,23-11-2021,
CL6MA260,1,,09-09-2019,
CL6MA700,1,,10-08-2016,
CL6MA891,1,,03-11-2021,
CL6TR011,1,3,20-09-2006,02-03-2021
CL6VA010,2,,05-11-2020,
CL6VA020,2,5,03-08-2018,04-02-2022
CO200003,2,42,25-06-2013,10-02-2022
CO200008,4,11,22-10-2019,20-04-2022
CO300020,2,5,13-03-2019,29-06-2021
CO300021,2,3,18-03-2019,01-06-2021
CO300022,2,7,10-04-2019,02-11-2021
CO300023,1,20,08-02-2011,30-09-2019
CO300024,3,9,25-06-2019,20-07-2021
CO300025,3,8,22-07-2019,20-04-2022
CO300026,2,,16-11-2021,
CO300302,1,13,23-07-2015,10-02-2022
CO300306,2,4,20-12-2019,09-05-2022
CO300307,1,3,23-11-2020,06-12-2021
CO300310,2,4,30-05-2019,05-03-2021
CO400109,1,2,22-03-2019,27-10-2021
CO400150,3,10,15-05-2019,14-06-2022
CO400153,7,1,05-05-2022,03-06-2022
CO400201,1,16,13-08-2012,24-05-2022
CO400222,1,2,23-07-2015,20-10-2015
CO400416,1,,14-03-2022,
CO400418,1,1,17-03-2022,30-03-2022
CO400419,1,,21-02-2022,
CO400502,1,4,16-11-2012,10-02-2022
CO400514,1,4,05-12-2016,22-09-2020
CO400515,1,3,24-11-2016,04-09-2020
CO400517,1,18,31-05-2011,31-05-2022
CO400520,2,6,22-09-2020,12-05-2021
CO400521,1,2,20-06-2011,31-08-2020
CO400603,1,5,24-05-2016,11-11-2020
CO400604,2,7,19-11-2019,04-11-2021
CO400605,2,3,19-11-2019,04-11-2021
CO400606,2,1,19-11-2019,17-08-2020
CO400608,1,1,15-10-2015,13-12-2018
CO400611,1,2,04-05-2016,17-08-2020
CO400612,2,13,15-03-2016,08-02-2022
CO400613,2,6,16-08-2020,16-02-2022
CO400615,2,16,21-07-2015,10-02-2022
CO400618,2,19,12-06-2013,06-04-2022
CO400624,1,12,22-07-2015,21-07-2021
CO400625,1,18,22-07-2015,24-11-2021
CO400660,1,4,09-02-2011,18-09-2020
CO400662,2,,01-03-2022,
CO500202,2,3,27-02-2020,26-04-2021
CO500203,2,,23-11-2020,
CO500204,2,2,23-07-2020,15-03-2022
CO500208,1,,18-02-2022,
CO500211,2,2,20-03-2019,24-08-2020
CO500213,2,2,20-03-2019,24-08-2020
CO500218,3,2,25-08-2021,25-03-2022
CO500227,1,2,02-07-2013,14-06-2016
CO500229,2,10,15-04-2016,14-03-2022
CO500237,1,2,23-07-2015,17-08-2020
CO500242,1,3,23-07-2015,29-04-2020
CO500246,2,1,25-05-2021,29-11-2021
CO500253,9,1,16-05-2022,02-06-2022
CO500254,1,,23-09-2021,
CO500255,1,5,23-07-2015,30-03-2022
CO500261,6,18,31-05-2021,14-06-2022
CO500267,2,,08-06-2021,
CO500710,2,2,19-04-2018,01-09-2020
CO500730,9,1,11-04-2022,14-06-2022
CO500770,3,11,11-03-2019,14-06-2022
CO500804,2,4,16-03-2016,17-08-2020
CO500808,1,2,29-10-2015,08-09-2021
CO500822,1,6,07-12-2016,16-02-2022
CO500848,2,3,01-02-2021,07-04-2022
CO500860,1,2,12-03-2019,14-02-2022
CO600830,1,2,12-03-2019,16-06-2021
CO600843,3,1,12-04-2021,19-04-2021
CO600879,3,1,16-08-2020,20-07-2021
CO600880,2,5,18-04-2018,23-11-2020
CO600885,3,,27-10-2021,
CU311422,3,,09-10-2020,
CU311423,2,2,10-10-2020,18-02-2022
CU311424,2,1,04-01-2021,21-10-2021
CU311425,2,2,11-01-2021,21-10-2021
CU311426,2,1,28-01-2021,24-03-2021
CU311427,1,,18-04-2022,
CU311428,3,,09-06-2021,
CU311430,1,,12-06-2013,
CU311431,1,1,10-06-2013,27-09-2017
CU311432,2,1,04-03-2021,24-02-2022
CU311433,1,1,18-03-2014,18-03-2017
CU311534,2,,29-03-2019,
CU311535,1,1,02-05-2014,30-09-2017
CU311536,1,1,05-05-2014,27-09-2017
CU311537,1,1,03-06-2013,06-12-2016
CU311538,1,2,15-12-2016,28-09-2017
CU311539,1,2,16-01-2017,28-09-2017
CU311540,2,,16-01-2017,
CU311541,2,,29-09-2017,
CU311542,1,1,16-12-2016,28-09-2017
CU311543,1,,16-01-2017,
CU311545,1,,16-01-2017,
CU311547,1,,22-12-2016,
CU411607,1,,19-11-2018,
CU411608,1,1,04-01-2021,21-10-2021
CU411609,1,2,04-05-2021,22-02-2022
CU411803,2,,21-01-2021,
CU411804,1,,19-11-2018,
CU411822,1,,24-11-2020,
CU411823,3,3,23-10-2020,22-02-2022
CU411850,1,,17-06-2021,
CU411861,1,,30-09-2017,
CU411863,1,,18-07-2021,
CU411866,1,,10-02-2021,
CU411879,1,,21-07-2021,
CU411880,1,,03-03-2021,
CU411886,1,2,30-10-2015,24-02-2022
CU411932,1,,29-09-2017,
CU411940,1,2,26-01-2017,30-09-2017
CU511816,1,2,24-11-2020,16-02-2022
CU511820,1,,16-04-2019,
CU511821,1,,24-11-2020,
CU511825,5,3,23-10-2020,22-02-2022
CU511827,2,,30-10-2015,
CU511830,3,3,10-12-2020,22-02-2022
CU511835,1,1,08-07-2015,25-09-2017
CU511838,1,1,30-09-2017,22-02-2022
CU511839,1,,29-09-2017,
CU511840,1,,29-09-2017,
CU511841,1,,30-10-2020,
CU511851,2,,17-06-2021,
CU511860,1,,30-09-2017,
CU511864,1,,19-07-2021,
CU511867,1,,10-02-2021,
CU511868,1,,05-10-2021,
CU511869,1,,21-11-2018,
CU511870,1,,19-07-2021,
CU511878,1,,21-07-2021,
CU511885,1,2,30-10-2015,22-02-2022
CU511905,2,,06-04-2021,
CU511935,1,,28-09-2017,
CU511938,1,3,01-07-2015,30-09-2017
CU515869,1,,21-11-2018,
CU611824,1,2,12-12-2020,22-02-2022
DE110000,6,1,29-05-2020,24-06-2020
DE160000,1,,17-11-2017,
DE1NO000,1,,02-03-2021,
DE216000,2,1,21-08-2020,09-09-2020
DE260001,1,,15-05-2009,
DE2NO000,1,2,19-03-2021,21-04-2021
DE316001,9,,09-10-2020,
DE316004,13,15,28-07-2020,16-06-2021
DE360010,1,,15-05-2009,
DE3NO01D,3,,19-05-2021,
DE3NO02C,2,3,27-01-2021,12-05-2021
DE3NO02D,2,,27-01-2021,
DE3NO02E,2,1,26-01-2021,12-05-2021
DE3NO03C,2,3,27-01-2021,12-05-2021
DE3NO03D,2,3,26-01-2021,21-07-2021
DE3NO03E,2,1,27-01-2021,12-05-2021
DE416030,12,,07-12-2020,
DE416040,11,1,20-01-2021,24-03-2021
DE416041,5,,20-01-2021,
DE416050,11,,11-06-2021,
DE416060,5,2,01-06-2018,21-12-2018
DE416065,1,1,07-07-2017,29-11-2019
DE416070,11,1,12-05-2021,26-05-2021
DE416071,4,6,30-09-2016,23-03-2018
DE416072,1,3,28-07-2017,29-11-2019
DE416080,9,2,14-06-2019,28-10-2020
DE416085,4,8,23-08-2019,02-06-2021
DE416090,8,3,16-08-2019,29-01-2020
DE4NO05K,1,,07-04-2021,
DE4NO05L,1,2,07-12-2018,05-02-2020
DE4NO06K,1,,07-04-2021,
DE4NO06L,1,2,07-12-2018,07-04-2021
DE4NO06N,1,3,07-12-2018,02-12-2020
DE4NO06O,3,,30-06-2021,
DE4NO06P,4,,23-06-2021,
DE4NO07N,1,1,07-12-2018,04-03-2020
DE4NO07O,2,,30-06-2021,
DE4NO07P,3,,16-06-2021,
DE4NO07Q,1,1,12-04-2019,05-06-2020
DE4NO08O,4,1,30-09-2020,25-11-2020
DE4NO08P,5,,25-11-2020,
DE4NO08Q,5,2,25-11-2020,28-04-2021
DE4NO09I,1,,07-04-2021,
DE4NO09J,1,,07-04-2021,
DE4NO09P,5,,25-11-2020,
DE4NO09Q,4,,02-10-2020,
DE4NO09R,1,1,12-04-2019,05-06-2020
DE4NO10H,1,1,07-04-2021,21-04-2021
DE4NO10I,1,,07-04-2021,
DE4NO10J,1,,07-04-2021,
DE4NO10N,2,5,27-11-2020,23-06-2021
DE4NO10O,3,1,07-10-2020,25-11-2020
DE4NO10P,5,1,07-10-2020,26-11-2020
DE4NO10Q,3,1,07-10-2020,04-11-2020
DE4NO10R,1,2,12-04-2019,25-11-2020
DE4NO10S,1,1,12-04-2019,24-05-2019
DE4NO11H,1,1,07-04-2021,21-04-2021
DE4NO11N,2,1,10-01-2020,22-04-2020
DE4NO11O,3,1,07-10-2020,23-06-2021
DE4NO11P,2,1,07-10-2020,25-11-2020
DE4NO11Q,3,2,25-11-2020,05-05-2021
DE4NO11R,1,1,12-04-2019,01-11-2019
DE4NO11S,1,1,12-04-2019,24-05-2019
DE4NO12J,1,1,07-04-2021,21-04-2021
DE4NO12K,1,,07-04-2021,
DE4NO12L,1,,07-04-2021,
DE4NO12M,1,2,21-01-2020,14-12-2020
DE4NO12N,4,3,11-11-2020,11-05-2021
DE4NO12O,6,2,30-04-2021,09-06-2021
DE4NO12P,8,,07-07-2021,
DE4NO12Q,7,,18-06-2021,
DE4NO12R,2,,25-11-2020,
DE4NO13J,1,,07-04-2021,
DE4NO13K,2,1,07-04-2021,27-08-2021
DE4NO13L,2,1,20-01-2021,22-03-2021
DE4NO13M,3,1,20-01-2021,22-03-2021
DE4NO13N,3,,11-11-2020,
DE4NO13O,4,,11-11-2020,
DE4NO13P,7,1,30-04-2021,19-05-2021
DE4NO13Q,7,1,30-04-2021,02-06-2021
DE4NO13R,7,,04-06-2021,
DE4NO13S,6,1,30-04-2021,16-06-2021
DE4NO14J,2,1,25-10-2019,10-01-2020
DE4NO14K,2,,25-10-2019,
DE4NO14L,4,3,20-01-2021,05-05-2021
DE4NO14M,2,,20-01-2021,
DE4NO14N,3,,11-11-2020,
DE4NO14O,7,1,12-05-2021,16-06-2021
DE4NO14P,5,,12-05-2021,
DE4NO14R,1,3,12-04-2019,30-04-2021
DE4NO14S,7,,30-04-2021,
DE4NO15J,3,1,29-04-2020,12-08-2020
DE4NO15K,4,,28-05-2020,
DE4NO15L,3,1,20-01-2021,22-03-2021
DE4NO15O,3,2,26-02-2021,12-05-2021
DE4NO15P,3,1,26-02-2021,12-05-2021
DE4NO15S,4,,30-04-2021,
DE4NO15T,7,1,30-04-2021,30-06-2021
DE4NO16K,3,6,29-04-2020,25-11-2020
DE4NO16L,3,,29-04-2020,
DE4NO16M,1,1,12-04-2019,16-08-2019
DE4NO16O,2,,26-02-2021,
DE4NO16P,3,1,26-02-2021,10-03-2021
DE4NO17L,1,1,12-04-2019,24-05-2019
DE4NO17M,1,2,12-04-2019,09-08-2019
DE4NO17O,2,,07-07-2021,
DE4NO17P,3,,07-07-2021,
DE4NO18M,1,,12-04-2019,
DE4NO18Q,2,1,10-03-2021,12-05-2021
DE4OS07A,2,1,30-10-2020,12-11-2020
DE4OS07C,2,1,30-10-2020,02-12-2020
DE4OS07O,1,,19-03-2021,
DE4OS08B,2,2,30-10-2020,02-12-2020
DE4OS08C,2,2,30-10-2020,02-12-2020
DE4OS08D,2,1,30-10-2020,02-12-2020
DE4OS08O,1,,19-03-2021,
DE4OS09A,2,1,30-10-2020,02-12-2020
DE4OS09B,2,2,30-10-2020,26-05-2021
DE4OS09C,1,2,07-12-2020,28-04-2021
DE4OS09D,1,5,07-12-2020,02-06-2021
DE4OS10B,1,,07-12-2020,
DE4OS10C,1,,07-12-2020,
DE4OS10D,1,1,07-12-2020,30-03-2021
DE4OS10H,1,1,11-06-2021,07-07-2021
DE4OS10I,1,,11-06-2021,
DE4OS11H,1,,11-06-2021,
DE4OS11I,1,,11-06-2021,
DE4OS12E,2,,09-07-2021,
DE4OS12F,2,1,09-07-2021,21-07-2021
DE4OS12G,2,,16-06-2021,
DE4OS12H,2,,11-06-2021,
DE4OS13F,1,,20-01-2021,
DE4OS13G,2,,11-06-2021,
DE516210,6,,23-10-2015,
DE516220,7,1,20-09-2019,27-09-2019
DE516240,4,2,13-11-2015,15-03-2019
DE516260,5,2,06-09-2019,28-04-2020
DE516270,4,,09-08-2019,
DE516510,0,,09-06-2021,
DE516600,11,,12-05-2021,
DE516610,3,,01-06-2018,
DE516620,2,1,22-08-2014,08-06-2018
DE516630,3,,01-06-2018,
DE516640,3,,01-06-2018,
DE516650,5,3,24-11-2017,25-03-2020
DE516660,2,1,22-08-2014,08-06-2018
DE516670,2,3,22-08-2014,08-06-2018
DE516680,3,,01-06-2018,
DE516690,7,,01-06-2018,
DE516710,5,,21-06-2019,
DE516720,3,,17-07-2015,
DE516725,5,,25-05-2018,
DE516730,3,1,20-02-2015,23-09-2016
DE516735,4,1,04-09-2015,23-09-2016
DE516740,5,1,30-09-2016,07-10-2016
DE516750,2,1,04-09-2015,23-09-2016
DE516760,3,1,15-11-2013,23-09-2016
DE516770,3,,15-11-2013,
DE516775,2,2,20-02-2015,30-09-2016
DE516780,3,1,04-09-2015,23-09-2016
DE516785,3,,04-09-2015,
DE516790,3,1,06-03-2015,06-10-2017
DE516795,5,,21-06-2019,
DE516800,5,2,13-10-2017,18-03-2020
DE516810,4,1,20-01-2017,01-04-2020
DE516820,3,1,27-02-2015,30-11-2018
DE516825,4,,27-01-2017,
DE516830,2,,04-09-2015,
DE516840,2,2,26-06-2015,07-07-2021
DE516850,2,,26-06-2015,
DE516860,4,,14-06-2019,
DE516870,3,,31-07-2015,
DE516875,3,2,23-08-2019,07-04-2021
DE516880,4,,14-06-2019,
DE516890,5,,14-06-2019,
DE516900,5,1,13-10-2017,31-05-2019
DE516920,3,,17-02-2017,
DE516950,3,,17-02-2017,
DE516960,2,1,13-03-2015,07-10-2020
DE521900,0,,16-04-2021,
DE5NOBHV,2,2,12-06-2020,12-08-2020
DE5NOBKM,2,4,08-11-2019,10-02-2021
DE5NOBNS,1,,05-02-2021,
DE5NOBRB,4,,30-04-2021,
DE5NOBRK,2,,09-07-2021,
DE5NOBSM,1,,31-07-2020,
DE5NOCUX,5,1,30-04-2021,09-06-2021
DE5NODGB,2,1,17-01-2020,12-06-2020
DE5NOELS,2,,07-07-2021,
DE5NOEMD,1,,16-04-2021,
DE5NOESP,1,,07-10-2020,
DE5NOFRS,1,,07-10-2020,
DE5NOGLS,1,,21-06-2019,
DE5NOHAM,4,2,23-10-2020,03-02-2021
DE5NOHGL,1,4,16-01-2020,28-04-2021
DE5NOHRN,2,,04-06-2021,
DE5NOHUS,1,3,10-06-2020,25-11-2020
DE5NOLIS,1,1,10-06-2020,02-06-2021
DE5NOLNG,1,1,05-02-2021,22-03-2021
DE5NOMEL,1,2,31-07-2020,18-06-2021
DE5NONDG,2,2,27-11-2020,26-05-2021
DE5NONDY,1,1,05-02-2021,22-03-2021
DE5NONOK,1,,05-02-2021,
DE5NONRD,2,1,28-01-2021,22-03-2021
DE5NOOBG,2,,07-07-2021,
DE5NOPLW,1,1,16-01-2020,12-06-2020
DE5NOSLH,1,2,16-01-2020,24-09-2020
DE5NOSLS,1,1,10-01-2020,12-06-2020
DE5NOSTS,3,1,30-04-2021,16-07-2021
DE5NOTOE,1,1,07-10-2020,25-11-2020
DE5NOWHV,3,1,26-02-2021,12-05-2021
DE5NOWNG,2,1,11-11-2020,08-01-2021
DE5NOWYK,2,3,17-01-2020,02-06-2021
DE5OSARN,1,1,17-06-2020,04-11-2020
DE5OSBGW,2,1,11-11-2020,04-06-2021
DE5OSBHW,2,,28-05-2021,
DE5OSDMP,1,1,07-12-2020,09-06-2021
DE5OSEKF,1,1,07-12-2020,09-06-2021
DE5OSFLB,1,,17-03-2020,
DE5OSFOD,1,2,17-06-2020,02-06-2021
DE5OSGLB,1,4,24-03-2020,02-06-2021
DE5OSGWB,1,2,17-06-2020,04-06-2021
DE5OSHLS,2,1,02-12-2020,04-06-2021
DE5OSKIL,1,3,22-07-2020,16-12-2020
DE5OSKLB,1,,09-06-2021,
DE5OSKPL,1,1,17-06-2020,04-11-2020
DE5OSLBK,1,4,27-05-2020,03-03-2021
DE5OSMIS,1,,17-06-2020,
DE5OSMSH,1,1,17-06-2020,09-06-2021
DE5OSNST,1,1,20-01-2021,16-06-2021
DE5OSOLP,1,1,17-06-2020,04-11-2020
DE5OSROS,3,2,25-01-2021,10-03-2021
DE5OSSAS,1,5,08-03-2019,29-11-2019
DE5OSSED,1,2,17-06-2020,02-06-2021
DE5OSSLW,2,,06-11-2020,
DE5OSSTX,1,,17-06-2020,
DE5OSWBU,2,,23-06-2021,
DE5OSWDT,1,1,07-12-2020,09-06-2021
DE616941,3,,17-02-2017,
DE621502,5,,11-09-2020,
DE621503,5,,11-09-2020,
DE621504,5,,11-09-2020,
DE621505,5,,11-09-2020,
DE6OSDBK,1,,22-07-2020,
DE6OSFDO,1,1,22-07-2020,04-09-2020
DE6OSKDF,1,1,20-10-2020,11-06-2021
DE6OSKTS,1,,06-05-2020,
DE6OSLAB,2,,02-12-2020,
DE6OSMKB,1,,22-07-2020,
DE6OSMLO,1,,22-07-2020,
DE6OSNDF,1,2,06-05-2020,09-07-2021
DE6OSOBK,1,1,22-07-2020,04-09-2020
DE6OSOUH,1,,22-07-2020,
DE6OSSKS,1,,09-12-2020,
DE6OSSLM,2,,24-02-2021,
DE6OSTIM,1,1,20-10-2020,11-06-2021
DE6OSTRM,1,2,06-05-2020,24-06-2020
DE6OSWIK,1,,22-07-2020,
DE6OSWIS,2,,23-06-2021,
DE6OSWMD,3,1,25-01-2021,03-03-2021
DK1GEAST,4,,13-01-2021,
DK1GNORN,4,,10-06-2022,
DK1GNORT,5,,10-06-2022,
DK1GSOUT,4,,19-01-2021,
DK1GWEST,4,,13-01-2021,
DK1NORSO,33,,16-04-2021,
DK2BORNH,41,1,08-04-2022,12-05-2022
DK2FEMON,31,10,07-01-2022,21-06-2022
DK2FO80A,12,,18-05-2022,
DK2KATGN,45,6,10-12-2021,10-06-2022
DK2KATGS,66,3,18-03-2022,10-06-2022
DK2LILBL,37,,23-02-2022,
DK2NORSO,66,1,31-05-2022,17-06-2022
DK2SKARK,35,,25-05-2022,
DK2STOBL,50,2,17-12-2021,08-06-2022
DK2SUNDT,38,3,28-01-2022,30-05-2022
DK3AQEEE,2,,07-03-2022,
DK3AQEGE,2,,07-03-2022,
DK3AQEIE,2,,07-03-2022,
DK3AQEKE,2,,07-03-2022,
DK3ASEEE,2,,07-03-2022,
DK3ASEGE,2,,11-03-2022,
DK3ASEIE,2,,07-03-2022,
DK3ASEKE,2,,07-03-2022,
DK3AYDUE,1,,26-01-2022,
DK3AYDWE,1,,26-01-2022,
DK3AYDYE,1,,26-01-2022,
DK3BADUE,1,,26-01-2022,
DK3BADWE,1,,26-01-2022,
DK3BADYE,1,,26-01-2022,
DK3BCDSE,1,,26-01-2022,
DK3BCDUE,1,,26-01-2022,
DK3BCDWE,1,,26-01-2022,
DK3BCDYE,1,,26-01-2022,
DK3BEDQE,1,,26-01-2022,
DK3BEDSE,1,,26-01-2022,
DK3BEDUE,1,,26-01-2022,
DK3BEDWE,1,,26-01-2022,
DK3BGDOE,1,,26-01-2022,
DK3BGDQE,1,,26-01-2022,
DK3BGDSE,3,,26-01-2022,
DK3BGDUE,4,,26-01-2022,
DK3BGDWE,1,,11-10-2021,
DK3BGDYE,1,,11-10-2021,
DK3BGEAE,1,,24-09-2021,
DK3BIDME,1,,22-06-2021,
DK3BIDOE,1,,22-06-2021,
DK3BIDQE,1,,22-06-2021,
DK3BIDSE,2,,17-07-2020,
DK3BIDUE,2,,16-07-2020,
DK3BIDWE,1,,24-09-2021,
DK3BIDYE,1,,24-09-2021,
DK3BIEAE,1,,24-09-2021,
DK3BKDGD,2,,29-06-2020,
DK3BKDME,3,,29-06-2020,
DK3BKDOE,4,,10-06-2021,
DK3BKDQE,2,,01-07-2020,
DK3BKDSE,1,,11-03-2022,
DK3BMDIE,1,,07-03-2022,
DK3BMDKE,3,,29-06-2020,
DK3BMDME,2,,15-07-2020,
DK3BMDOE,2,,15-07-2020,
DK3BMDQE,2,,29-06-2020,
DK3BODGD,3,,30-06-2020,
DK3BODIE,1,,07-03-2022,
DK3BODKE,3,,15-07-2020,
DK3BODME,2,,15-07-2020,
DK3BODOE,2,,01-07-2020,
DK3BODQE,2,,01-07-2020,
DK3BORNH,47,14,28-04-2021,17-05-2022
DK3BQDIE,1,,07-03-2022,
DK3BQDKE,4,,13-07-2020,
DK3BQDME,2,,13-07-2020,
DK3BQDOE,2,,13-07-2020,
DK3BQDQE,3,,01-07-2020,
DK3BQDSE,2,,01-07-2020,
DK3BQDUE,2,,01-07-2020,
DK3BQDWE,2,,01-07-2020,
DK3FO82A,17,,18-05-2022,
DK3FO82B,24,1,18-05-2022,20-06-2022
DK3FO83A,14,,18-05-2022,
DK3HORRO,55,6,05-05-2021,06-04-2022
DK3KATGM,10,8,30-07-2021,10-06-2022
DK3KATGN,12,,16-06-2022,
DK3KATGS,10,3,18-03-2022,10-06-2022
DK3SUNDT,10,7,01-12-2021,31-05-2022
DK41231A,8,,10-12-2020,
